symbol,name,totalVolume
nodemonkes,NodeMonkes,520959757463
runestone,Runestone,376795368612
bitcoin-puppets,Bitcoin Puppets,332202885087
omb,Ordinal Maxi Biz (OMB),214178314316
quantum_cats,Quantum Cats,169096782537
rsic,RSIC METAPROTOCOL,168320156655
bitcoin-frogs,Bitcoin Frogs,151759270653
runes_pups,Rune Pups (Concluded),83643474192
bitmap,bitmap,78751726120
dmtnatcats,Natcats,64399017603
prometheans,Prometheans,56846802442
ink,INK,50827263546
blobarmy,Blob,41569687264
pizza-ninjas,Pizza Ninjas,31804972160
bitcoin-punks,Bitcoin Punks,31172887364
taproot_wizards,Taproot Wizards,27799457864
bitcoin-wizards,Bitcoin Wizards,23640812441
degods,BTC DeGods,21637740719
puppetmaxibiz,Puppet Maxi Biz (PMB),21249061159
opium,O.P.I.U.M.,18185710795
wizards,The Wizards of Ord,17157380513
basedangels,Based Angels,15911735513
bitcoinshrooms,Bitcoin Shrooms,12554650050
runesterminal,Ape Odyssey,12496004724
bbc,Bitcoin Bear Cubs,12161423237
ocm-genesis,OCM Genesis by OnChainMonkey®,12122981920
goosinals,Goosinals,11526957792
runenodes,Rune Nodes,11462707630
runedoors,Rune Doors,11373074725
dogepunks,DogePunks,10572404528
tiny_vikings,Tiny Vikings,10281954893
hashlings,Hashlings,9559237049
cc0,CC0,9441677926
fukuhedrons,Fukuhedrons,9238066031
runex,RuneX: UNNAMED,9089585477
floraforms-by-harto,FloraForms by Harto X Belvedere,9074861323
on1force_the_f4llen,0N1 Force: The Fallen,9068605076
trg,The Rune Guardians,8788187705
bitcoin-bandits,Bitcoin Bandits,8320347773
honey_badgers,Honey Badgers,8314460808
opunk,Ordinal Punks,8060980000
littlepups,Little Pups ,7975079015
naked-frogs,Misprint Frogs,7973077533
bitdisc_black_1,bitDisc-Black(bitSmiley OG),7578471121
cents,CENTS,7555664253
frucks,Frucks,7371824460
oblivion,On the Edge of Oblivion by Nullish,7150663890
fomojis_2,Fomojis,6737196161
the-golden-ratio,The Golden Ratio by Harto x Vivid Gallery,6499717216
runepunks,RunePunks,6284018787
runemilio,Runemilio,6247120387
ordirocks,OrdiRocks,6208244599
shids,Shids ,6154926149
ordiapes,,6013589732
btc-machines,BTC Machines,5857308357
theblockcollection,The Block,5768409334
aog-orange,Apostles of Greed,5755228588
gob_btc,GOB,5710321422
mnchrms,MNCHRMS,5612454987
bitglyphs,BitGlyphs,5466953170
pepenals,PepeNals,5343085666
ailu,AILU,5293114721
nodeapes,NodeApes,5081186662
